source,model,target,R2,RMSE,MAE,Accuracy
ML,XGBoost,FF,0.7929601990668012,5.792020944195967,3.3021756757767475,0.8825136612021858
ML,RandomForest,FF,0.7920686529481534,5.804478226836786,3.1735186001823554,0.8743169398907104
ML,KNeighborsRegressor,FF,0.4949327123003555,9.046442422186985,5.665840491803278,0.7663934426229508
ML,GradientBoosting,FF,0.4830579445954202,9.152171202913983,6.194785152432371,0.744535519125683
ML,RidgeRegression,FF,0.1406640057607237,11.800073282966196,8.256707957738456,0.6543715846994536
ML,LinearRegression,FF,0.1406601837049528,11.80009952444121,8.256755834008146,0.6543715846994536
ML,XGBoost,Jsc,0.8448851836385363,2.6518697237691,1.5691294940665363,0.7226775956284153
ML,RandomForest,Jsc,0.8203962083227253,2.853535592963673,1.7393720834463928,0.6816939890710383
ML,GradientBoosting,Jsc,0.6690520160442834,3.873516528181794,2.8793983274176917,0.5095628415300546
ML,KNeighborsRegressor,Jsc,0.577670605411043,4.375736871374928,3.044022008076503,0.5314207650273224
ML,RidgeRegression,Jsc,0.3960930201219422,5.23251603725911,4.143560756480866,0.3114754098360656
ML,LinearRegression,Jsc,0.3960765428768308,5.232587419826358,4.143621851052576,0.3114754098360656
ML,XGBoost,Voc,0.7372312856278593,0.1006468418724158,0.0384459798859455,0.9699453551912568
ML,RandomForest,Voc,0.6401249549418522,0.1177847840505386,0.0435456939220897,0.9494535519125684
ML,GradientBoosting,Voc,0.4433983087834614,0.1464824464663356,0.0626739006536945,0.9439890710382514
ML,KNeighborsRegressor,Voc,0.3268005843400996,0.1610961602476943,0.0619664459016393,0.9275956284153004
ML,RidgeRegression,Voc,0.2352221628123624,0.1717042207164396,0.0773514298388146,0.9043715846994536
ML,LinearRegression,Voc,0.235217386438816,0.171704756899745,0.0773593347897417,0.9043715846994536
ML,XGBoost,eta,0.8684198013468736,2.8830133273540497,1.8058641859311224,0.6939890710382514
ML,RandomForest,eta,0.8433198046411441,3.145997935829895,1.93920812578182,0.6721311475409836
ML,GradientBoosting,eta,0.6892293070739525,4.430690450888578,3.390989379888929,0.453551912568306
ML,KNeighborsRegressor,eta,0.5982347798707903,5.037760887020649,3.5889586065573766,0.5027322404371585
ML,RidgeRegression,eta,0.3844183395650487,6.235829289101253,5.115422730360743,0.2459016393442623
ML,LinearRegression,eta,0.3843932973201691,6.235956126518602,5.115502768450168,0.2459016393442623
ML,XGBoost,overall,0.8108741174200176,2.856887709297883,1.678903833915088,0.8172814207650273
ML,RandomForest,overall,0.7739774052134687,2.980449134920223,1.7239111258331643,0.7943989071038252
ML,GradientBoosting,overall,0.5711843941242793,4.400715157112673,3.1319616900981715,0.6629098360655737
ML,KNeighborsRegressor,overall,0.4994096704805721,4.655259085207564,3.0901968880846997,0.6820355191256832
ML,RidgeRegression,overall,0.2890993820650193,5.860030707510751,4.398260718604719,0.5290300546448088
ML,LinearRegression,overall,0.2890868525851922,5.860086956921479,4.398309947075158,0.5290300546448088
NN,ANN,Voc,0.5459368595969492,0.13230353498508254,0.03810158834495961,0.98224043715847
NN,ANN,Jsc,0.9572925544727519,1.3914811944690786,0.8917343188241095,0.9234972677595629
NN,ANN,FF,0.8665603223125734,4.649922290872654,2.9486874330864574,0.9467213114754098
NN,ANN,eta,0.9855759753628638,0.9545410477026899,0.7499199688332979,0.9371584699453552
NN,ANN,overall,0.8388414279362845,2.474199368625858,1.1571108272722066,0.9474043715846995
NN,CNN,Voc,0.7007068091286787,0.10741421085032274,0.03371810103322639,0.9808743169398907
NN,CNN,Jsc,0.9633084303965783,1.2897593614203686,0.7762639311576501,0.9234972677595629
NN,CNN,FF,0.8639048986246174,4.695960656062138,2.871493866075193,0.9480874316939891
NN,CNN,eta,0.9943771596115524,0.5959766696254327,0.45222228860073393,0.9480874316939891
NN,CNN,overall,0.8805743244403567,2.4536835419979006,1.0334245467167007,0.950136612021858
NN,RNN,Voc,0.8375326313070369,0.0791400640224766,0.031123787632061486,0.9863387978142076
NN,RNN,Jsc,0.9784976025777897,0.9873451240659687,0.6412556424904879,0.9562841530054644
NN,RNN,FF,0.9148146154621062,3.7152303598800005,2.336821248814317,0.9631147540983607
NN,RNN,eta,0.9934724463106691,0.6421353923649151,0.4984030878807026,0.9658469945355191
NN,RNN,overall,0.9310793239144004,1.9491272426942812,0.8769009417043934,0.967896174863388
